date,amfi_code,scheme_name,nav
2023-02-11,100001,HDFC Large Cap Fund,62.94
2023-02-12,100001,HDFC Large Cap Fund,62.94
2023-02-13,100001,HDFC Large Cap Fund,62.755
2023-02-14,100001,HDFC Large Cap Fund,63.153
2023-02-15,100001,HDFC Large Cap Fund,61.986
2023-02-16,100001,HDFC Large Cap Fund,63.032
2023-02-17,100001,HDFC Large Cap Fund,65.69
2023-02-18,100001,HDFC Large Cap Fund,65.69
2023-02-19,100001,HDFC Large Cap Fund,65.69
2023-02-20,100001,HDFC Large Cap Fund,66.899
2023-02-21,100001,HDFC Large Cap Fund,67.152
2023-02-22,100001,HDFC Large Cap Fund,68.074
2023-02-23,100001,HDFC Large Cap Fund,67.078
2023-02-24,100001,HDFC Large Cap Fund,65.518
2023-02-25,100001,HDFC Large Cap Fund,65.518
2023-02-26,100001,HDFC Large Cap Fund,65.518
2023-02-27,100001,HDFC Large Cap Fund,66.311
2023-02-28,100001,HDFC Large Cap Fund,65.809
2023-03-01,100001,HDFC Large Cap Fund,64.513
2023-03-02,100001,HDFC Large Cap Fund,63.693
2023-03-03,100001,HDFC Large Cap Fund,62.645
2023-03-04,100001,HDFC Large Cap Fund,62.645
2023-03-05,100001,HDFC Large Cap Fund,62.645
2023-03-06,100001,HDFC Large Cap Fund,62.803
2023-03-07,100001,HDFC Large Cap Fund,63.383
2023-03-08,100001,HDFC Large Cap Fund,64.259
2023-03-09,100001,HDFC Large Cap Fund,65.153
2023-03-10,100001,HDFC Large Cap Fund,65.923
2023-03-11,100001,HDFC Large Cap Fund,65.923
2023-03-12,100001,HDFC Large Cap Fund,65.923
2023-03-13,100001,HDFC Large Cap Fund,65.751
2023-03-14,100001,HDFC Large Cap Fund,65.169
2023-03-15,100001,HDFC Large Cap Fund,63.727
2023-03-16,100001,HDFC Large Cap Fund,64.81
2023-03-17,100001,HDFC Large Cap Fund,64.67
2023-03-18,100001,HDFC Large Cap Fund,64.67
2023-03-19,100001,HDFC Large Cap Fund,64.67
2023-03-20,100001,HDFC Large Cap Fund,64.304
2023-03-21,100001,HDFC Large Cap Fund,65.474
2023-03-22,100001,HDFC Large Cap Fund,64.625
2023-03-23,100001,HDFC Large Cap Fund,65.467
2023-03-24,100001,HDFC Large Cap Fund,65.791
2023-03-25,100001,HDFC Large Cap Fund,65.791
2023-03-26,100001,HDFC Large Cap Fund,65.791
2023-03-27,100001,HDFC Large Cap Fund,64.8
2023-03-28,100001,HDFC Large Cap Fund,64.759
2023-03-29,100001,HDFC Large Cap Fund,65.737
2023-03-30,100001,HDFC Large Cap Fund,66.554
2023-03-31,100001,HDFC Large Cap Fund,68.08
2023-04-01,100001,HDFC Large Cap Fund,68.08
2023-04-02,100001,HDFC Large Cap Fund,68.08
2023-04-03,100001,HDFC Large Cap Fund,68.459
2023-04-04,100001,HDFC Large Cap Fund,71.956
2023-04-05,100001,HDFC Large Cap Fund,70.999
2023-04-06,100001,HDFC Large Cap Fund,70.61
2023-04-07,100001,HDFC Large Cap Fund,70.581
2023-04-08,100001,HDFC Large Cap Fund,70.581
2023-04-09,100001,HDFC Large Cap Fund,70.581
2023-04-10,100001,HDFC Large Cap Fund,69.114
2023-04-11,100001,HDFC Large Cap Fund,70.229
2023-04-12,100001,HDFC Large Cap Fund,71.216
2023-04-13,100001,HDFC Large Cap Fund,71.272
2023-04-14,100001,HDFC Large Cap Fund,70.736
2023-04-15,100001,HDFC Large Cap Fund,70.736
2023-04-16,100001,HDFC Large Cap Fund,70.736
2023-04-17,100001,HDFC Large Cap Fund,69.185
2023-04-18,100001,HDFC Large Cap Fund,68.401
2023-04-19,100001,HDFC Large Cap Fund,69.198
2023-04-20,100001,HDFC Large Cap Fund,69.012
2023-04-21,100001,HDFC Large Cap Fund,68.605
2023-04-22,100001,HDFC Large Cap Fund,68.605
2023-04-23,100001,HDFC Large Cap Fund,68.605
2023-04-24,100001,HDFC Large Cap Fund,69.155
2023-04-25,100001,HDFC Large Cap Fund,70.391
2023-04-26,100001,HDFC Large Cap Fund,70.698
2023-04-27,100001,HDFC Large Cap Fund,71.067
2023-04-28,100001,HDFC Large Cap Fund,72.565
2023-04-29,100001,HDFC Large Cap Fund,72.565
2023-04-30,100001,HDFC Large Cap Fund,72.565
2023-05-01,100001,HDFC Large Cap Fund,72.792
2023-05-02,100001,HDFC Large Cap Fund,72.491
2023-05-03,100001,HDFC Large Cap Fund,73.259
2023-05-04,100001,HDFC Large Cap Fund,73.014
2023-05-05,100001,HDFC Large Cap Fund,72.648
2023-05-06,100001,HDFC Large Cap Fund,72.648
2023-05-07,100001,HDFC Large Cap Fund,72.648
2023-05-08,100001,HDFC Large Cap Fund,74.072
2023-05-09,100001,HDFC Large Cap Fund,73.785
2023-05-10,100001,HDFC Large Cap Fund,70.883
2023-05-11,100001,HDFC Large Cap Fund,71.286
2023-05-12,100001,HDFC Large Cap Fund,70.899
2023-05-13,100001,HDFC Large Cap Fund,70.899
2023-05-14,100001,HDFC Large Cap Fund,70.899
2023-05-15,100001,HDFC Large Cap Fund,70.627
2023-05-16,100001,HDFC Large Cap Fund,71.142
2023-05-17,100001,HDFC Large Cap Fund,71.0
2023-05-18,100001,HDFC Large Cap Fund,71.264
2023-05-19,100001,HDFC Large Cap Fund,69.138
2023-05-20,100001,HDFC Large Cap Fund,69.138
2023-05-21,100001,HDFC Large Cap Fund,69.138
2023-05-22,100001,HDFC Large Cap Fund,68.195
2023-05-23,100001,HDFC Large Cap Fund,69.665
2023-05-24,100001,HDFC Large Cap Fund,69.68
2023-05-25,100001,HDFC Large Cap Fund,67.966
2023-05-26,100001,HDFC Large Cap Fund,66.907
2023-05-27,100001,HDFC Large Cap Fund,66.907
2023-05-28,100001,HDFC Large Cap Fund,66.907
2023-05-29,100001,HDFC Large Cap Fund,65.944
2023-05-30,100001,HDFC Large Cap Fund,66.078
2023-05-31,100001,HDFC Large Cap Fund,65.682
2023-06-01,100001,HDFC Large Cap Fund,65.065
2023-06-02,100001,HDFC Large Cap Fund,65.101
2023-06-03,100001,HDFC Large Cap Fund,65.101
2023-06-04,100001,HDFC Large Cap Fund,65.101
2023-06-05,100001,HDFC Large Cap Fund,65.6
2023-06-06,100001,HDFC Large Cap Fund,65.378
2023-06-07,100001,HDFC Large Cap Fund,64.847
2023-06-08,100001,HDFC Large Cap Fund,64.469
2023-06-09,100001,HDFC Large Cap Fund,64.83
2023-06-10,100001,HDFC Large Cap Fund,64.83
2023-06-11,100001,HDFC Large Cap Fund,64.83
2023-06-12,100001,HDFC Large Cap Fund,64.855
2023-06-13,100001,HDFC Large Cap Fund,65.634
2023-06-14,100001,HDFC Large Cap Fund,64.535
2023-06-15,100001,HDFC Large Cap Fund,63.817
2023-06-16,100001,HDFC Large Cap Fund,64.589
2023-06-17,100001,HDFC Large Cap Fund,64.589
2023-06-18,100001,HDFC Large Cap Fund,64.589
2023-06-19,100001,HDFC Large Cap Fund,63.844
2023-06-20,100001,HDFC Large Cap Fund,65.201
2023-06-21,100001,HDFC Large Cap Fund,66.608
2023-06-22,100001,HDFC Large Cap Fund,68.032
2023-06-23,100001,HDFC Large Cap Fund,67.167
2023-06-24,100001,HDFC Large Cap Fund,67.167
2023-06-25,100001,HDFC Large Cap Fund,67.167
2023-06-26,100001,HDFC Large Cap Fund,67.278
2023-06-27,100001,HDFC Large Cap Fund,66.814
2023-06-28,100001,HDFC Large Cap Fund,67.773
2023-06-29,100001,HDFC Large Cap Fund,69.542
2023-06-30,100001,HDFC Large Cap Fund,70.488
2023-07-01,100001,HDFC Large Cap Fund,70.488
2023-07-02,100001,HDFC Large Cap Fund,70.488
2023-07-03,100001,HDFC Large Cap Fund,70.533
2023-07-04,100001,HDFC Large Cap Fund,70.182
2023-07-05,100001,HDFC Large Cap Fund,70.9
2023-07-06,100001,HDFC Large Cap Fund,69.635
2023-07-07,100001,HDFC Large Cap Fund,70.23
2023-07-08,100001,HDFC Large Cap Fund,70.23
2023-07-09,100001,HDFC Large Cap Fund,70.23
2023-07-10,100001,HDFC Large Cap Fund,69.302
2023-07-11,100001,HDFC Large Cap Fund,69.982
2023-07-12,100001,HDFC Large Cap Fund,69.848
2023-07-13,100001,HDFC Large Cap Fund,69.476
2023-07-14,100001,HDFC Large Cap Fund,68.588
2023-07-15,100001,HDFC Large Cap Fund,68.588
2023-07-16,100001,HDFC Large Cap Fund,68.588
2023-07-17,100001,HDFC Large Cap Fund,68.255
2023-07-18,100001,HDFC Large Cap Fund,68.858
2023-07-19,100001,HDFC Large Cap Fund,69.971
2023-07-20,100001,HDFC Large Cap Fund,70.559
2023-07-21,100001,HDFC Large Cap Fund,72.038
2023-07-22,100001,HDFC Large Cap Fund,72.038
2023-07-23,100001,HDFC Large Cap Fund,72.038
2023-07-24,100001,HDFC Large Cap Fund,74.818
2023-07-25,100001,HDFC Large Cap Fund,74.491
2023-07-26,100001,HDFC Large Cap Fund,74.298
2023-07-27,100001,HDFC Large Cap Fund,72.73
2023-07-28,100001,HDFC Large Cap Fund,74.065
2023-07-29,100001,HDFC Large Cap Fund,74.065
2023-07-30,100001,HDFC Large Cap Fund,74.065
2023-07-31,100001,HDFC Large Cap Fund,75.546
2023-08-01,100001,HDFC Large Cap Fund,74.601
2023-08-02,100001,HDFC Large Cap Fund,75.329
2023-08-03,100001,HDFC Large Cap Fund,76.742
2023-08-04,100001,HDFC Large Cap Fund,77.041
2023-08-05,100001,HDFC Large Cap Fund,77.041
2023-08-06,100001,HDFC Large Cap Fund,77.041
2023-08-07,100001,HDFC Large Cap Fund,78.059
2023-08-08,100001,HDFC Large Cap Fund,78.303
2023-08-09,100001,HDFC Large Cap Fund,76.913
2023-08-10,100001,HDFC Large Cap Fund,78.162
2023-08-11,100001,HDFC Large Cap Fund,79.755
2023-08-12,100001,HDFC Large Cap Fund,79.755
2023-08-13,100001,HDFC Large Cap Fund,79.755
2023-08-14,100001,HDFC Large Cap Fund,80.674
2023-08-15,100001,HDFC Large Cap Fund,79.559
2023-08-16,100001,HDFC Large Cap Fund,78.702
2023-08-17,100001,HDFC Large Cap Fund,77.407
2023-08-18,100001,HDFC Large Cap Fund,78.34
2023-08-19,100001,HDFC Large Cap Fund,78.34
2023-08-20,100001,HDFC Large Cap Fund,78.34
2023-08-21,100001,HDFC Large Cap Fund,79.87
2023-08-22,100001,HDFC Large Cap Fund,80.418
2023-08-23,100001,HDFC Large Cap Fund,81.593
2023-08-24,100001,HDFC Large Cap Fund,80.572
2023-08-25,100001,HDFC Large Cap Fund,80.789
2023-08-26,100001,HDFC Large Cap Fund,80.789
2023-08-27,100001,HDFC Large Cap Fund,80.789
2023-08-28,100001,HDFC Large Cap Fund,79.169
2023-08-29,100001,HDFC Large Cap Fund,78.292
2023-08-30,100001,HDFC Large Cap Fund,79.363
2023-08-31,100001,HDFC Large Cap Fund,79.117
2023-09-01,100001,HDFC Large Cap Fund,80.592
2023-09-02,100001,HDFC Large Cap Fund,80.592
2023-09-03,100001,HDFC Large Cap Fund,80.592
2023-09-04,100001,HDFC Large Cap Fund,81.283
2023-09-05,100001,HDFC Large Cap Fund,84.658
2023-09-06,100001,HDFC Large Cap Fund,84.819
2023-09-07,100001,HDFC Large Cap Fund,83.072
2023-09-08,100001,HDFC Large Cap Fund,83.071
2023-09-09,100001,HDFC Large Cap Fund,83.071
2023-09-10,100001,HDFC Large Cap Fund,83.071
2023-09-11,100001,HDFC Large Cap Fund,81.913
2023-09-12,100001,HDFC Large Cap Fund,83.155
2023-09-13,100001,HDFC Large Cap Fund,83.249
2023-09-14,100001,HDFC Large Cap Fund,83.119
2023-09-15,100001,HDFC Large Cap Fund,83.006
2023-09-16,100001,HDFC Large Cap Fund,83.006
2023-09-17,100001,HDFC Large Cap Fund,83.006
2023-09-18,100001,HDFC Large Cap Fund,83.969
2023-09-19,100001,HDFC Large Cap Fund,83.441
2023-09-20,100001,HDFC Large Cap Fund,84.455
2023-09-21,100001,HDFC Large Cap Fund,85.822
2023-09-22,100001,HDFC Large Cap Fund,85.424
2023-09-23,100001,HDFC Large Cap Fund,85.424
2023-09-24,100001,HDFC Large Cap Fund,85.424
2023-09-25,100001,HDFC Large Cap Fund,84.28
2023-09-26,100001,HDFC Large Cap Fund,83.674
2023-09-27,100001,HDFC Large Cap Fund,84.607
2023-09-28,100001,HDFC Large Cap Fund,84.767
2023-09-29,100001,HDFC Large Cap Fund,85.611
2023-09-30,100001,HDFC Large Cap Fund,85.611
2023-10-01,100001,HDFC Large Cap Fund,85.611
2023-10-02,100001,HDFC Large Cap Fund,87.918
2023-10-03,100001,HDFC Large Cap Fund,88.267
2023-10-04,100001,HDFC Large Cap Fund,87.24
2023-10-05,100001,HDFC Large Cap Fund,88.667
2023-10-06,100001,HDFC Large Cap Fund,88.78
2023-10-07,100001,HDFC Large Cap Fund,88.78
2023-10-08,100001,HDFC Large Cap Fund,88.78
2023-10-09,100001,HDFC Large Cap Fund,89.986
2023-10-10,100001,HDFC Large Cap Fund,91.47
2023-10-11,100001,HDFC Large Cap Fund,90.2
2023-10-12,100001,HDFC Large Cap Fund,92.115
2023-10-13,100001,HDFC Large Cap Fund,93.412
2023-10-14,100001,HDFC Large Cap Fund,93.412
2023-10-15,100001,HDFC Large Cap Fund,93.412
2023-10-16,100001,HDFC Large Cap Fund,92.613
2023-10-17,100001,HDFC Large Cap Fund,93.082
2023-10-18,100001,HDFC Large Cap Fund,93.488
2023-10-19,100001,HDFC Large Cap Fund,93.568
2023-10-20,100001,HDFC Large Cap Fund,94.839
2023-10-21,100001,HDFC Large Cap Fund,94.839
2023-10-22,100001,HDFC Large Cap Fund,94.839
2023-10-23,100001,HDFC Large Cap Fund,96.931
2023-10-24,100001,HDFC Large Cap Fund,96.99
2023-10-25,100001,HDFC Large Cap Fund,98.975
2023-10-26,100001,HDFC Large Cap Fund,100.492
2023-10-27,100001,HDFC Large Cap Fund,100.892
2023-10-28,100001,HDFC Large Cap Fund,100.892
2023-10-29,100001,HDFC Large Cap Fund,100.892
2023-10-30,100001,HDFC Large Cap Fund,101.209
2023-10-31,100001,HDFC Large Cap Fund,99.51
2023-11-01,100001,HDFC Large Cap Fund,97.32
2023-11-02,100001,HDFC Large Cap Fund,97.61
2023-11-03,100001,HDFC Large Cap Fund,96.406
2023-11-04,100001,HDFC Large Cap Fund,96.406
2023-11-05,100001,HDFC Large Cap Fund,96.406
2023-11-06,100001,HDFC Large Cap Fund,96.397
2023-11-07,100001,HDFC Large Cap Fund,95.672
2023-11-08,100001,HDFC Large Cap Fund,93.153
2023-11-09,100001,HDFC Large Cap Fund,93.699
2023-11-10,100001,HDFC Large Cap Fund,93.163
2023-11-11,100001,HDFC Large Cap Fund,93.163
2023-11-12,100001,HDFC Large Cap Fund,93.163
2023-11-13,100001,HDFC Large Cap Fund,93.322
2023-11-14,100001,HDFC Large Cap Fund,92.118
2023-11-15,100001,HDFC Large Cap Fund,91.701
2023-11-16,100001,HDFC Large Cap Fund,93.893
2023-11-17,100001,HDFC Large Cap Fund,94.121
2023-11-18,100001,HDFC Large Cap Fund,94.121
2023-11-19,100001,HDFC Large Cap Fund,94.121
2023-11-20,100001,HDFC Large Cap Fund,94.944
2023-11-21,100001,HDFC Large Cap Fund,93.182
2023-11-22,100001,HDFC Large Cap Fund,96.568
2023-11-23,100001,HDFC Large Cap Fund,99.287
2023-11-24,100001,HDFC Large Cap Fund,101.367
2023-11-25,100001,HDFC Large Cap Fund,101.367
2023-11-26,100001,HDFC Large Cap Fund,101.367
2023-11-27,100001,HDFC Large Cap Fund,102.678
2023-11-28,100001,HDFC Large Cap Fund,102.753
2023-11-29,100001,HDFC Large Cap Fund,103.486
2023-11-30,100001,HDFC Large Cap Fund,105.165
2023-12-01,100001,HDFC Large Cap Fund,104.226
2023-12-02,100001,HDFC Large Cap Fund,104.226
2023-12-03,100001,HDFC Large Cap Fund,104.226
2023-12-04,100001,HDFC Large Cap Fund,103.583
2023-12-05,100001,HDFC Large Cap Fund,101.041
2023-12-06,100001,HDFC Large Cap Fund,99.922
2023-12-07,100001,HDFC Large Cap Fund,102.462
2023-12-08,100001,HDFC Large Cap Fund,102.0
2023-12-09,100001,HDFC Large Cap Fund,102.0
2023-12-10,100001,HDFC Large Cap Fund,102.0
2023-12-11,100001,HDFC Large Cap Fund,101.565
2023-12-12,100001,HDFC Large Cap Fund,102.1
2023-12-13,100001,HDFC Large Cap Fund,99.682
2023-12-14,100001,HDFC Large Cap Fund,101.145
2023-12-15,100001,HDFC Large Cap Fund,103.117
2023-12-16,100001,HDFC Large Cap Fund,103.117
2023-12-17,100001,HDFC Large Cap Fund,103.117
2023-12-18,100001,HDFC Large Cap Fund,103.752
2023-12-19,100001,HDFC Large Cap Fund,106.374
2023-12-20,100001,HDFC Large Cap Fund,104.31
2023-12-21,100001,HDFC Large Cap Fund,107.247
2023-12-22,100001,HDFC Large Cap Fund,106.125
2023-12-23,100001,HDFC Large Cap Fund,106.125
2023-12-24,100001,HDFC Large Cap Fund,106.125
2023-12-25,100001,HDFC Large Cap Fund,104.141
2023-12-26,100001,HDFC Large Cap Fund,103.822
2023-12-27,100001,HDFC Large Cap Fund,106.789
2023-12-28,100001,HDFC Large Cap Fund,106.811
2023-12-29,100001,HDFC Large Cap Fund,105.37
2023-12-30,100001,HDFC Large Cap Fund,105.37
2023-12-31,100001,HDFC Large Cap Fund,105.37
2024-01-01,100001,HDFC Large Cap Fund,103.376
2024-01-02,100001,HDFC Large Cap Fund,103.265
2024-01-03,100001,HDFC Large Cap Fund,100.226
2024-01-04,100001,HDFC Large Cap Fund,98.321
2024-01-05,100001,HDFC Large Cap Fund,100.646
2024-01-06,100001,HDFC Large Cap Fund,100.646
2024-01-07,100001,HDFC Large Cap Fund,100.646
2024-01-08,100001,HDFC Large Cap Fund,102.694
2024-01-09,100001,HDFC Large Cap Fund,102.548
2024-01-10,100001,HDFC Large Cap Fund,101.883
2024-01-11,100001,HDFC Large Cap Fund,102.023
2024-01-12,100001,HDFC Large Cap Fund,105.667
2024-01-13,100001,HDFC Large Cap Fund,105.667
2024-01-14,100001,HDFC Large Cap Fund,105.667
2024-01-15,100001,HDFC Large Cap Fund,106.362
2024-01-16,100001,HDFC Large Cap Fund,107.867
2024-01-17,100001,HDFC Large Cap Fund,107.593
2024-01-18,100001,HDFC Large Cap Fund,107.745
2024-01-19,100001,HDFC Large Cap Fund,108.845
2024-01-20,100001,HDFC Large Cap Fund,108.845
2024-01-21,100001,HDFC Large Cap Fund,108.845
2024-01-22,100001,HDFC Large Cap Fund,109.105
2024-01-23,100001,HDFC Large Cap Fund,106.054
2024-01-24,100001,HDFC Large Cap Fund,108.144
2024-01-25,100001,HDFC Large Cap Fund,107.2
2024-01-26,100001,HDFC Large Cap Fund,110.649
2024-01-27,100001,HDFC Large Cap Fund,110.649
2024-01-28,100001,HDFC Large Cap Fund,110.649
2024-01-29,100001,HDFC Large Cap Fund,111.844
2024-01-30,100001,HDFC Large Cap Fund,112.019
2024-01-31,100001,HDFC Large Cap Fund,112.813
2024-02-01,100001,HDFC Large Cap Fund,112.686
2024-02-02,100001,HDFC Large Cap Fund,111.92
2024-02-03,100001,HDFC Large Cap Fund,111.92
2024-02-04,100001,HDFC Large Cap Fund,111.92
2024-02-05,100001,HDFC Large Cap Fund,112.324
2024-02-06,100001,HDFC Large Cap Fund,113.871
2024-02-07,100001,HDFC Large Cap Fund,113.134
2024-02-08,100001,HDFC Large Cap Fund,112.135
2024-02-09,100001,HDFC Large Cap Fund,111.593
2024-02-10,100001,HDFC Large Cap Fund,111.593
2024-02-11,100001,HDFC Large Cap Fund,111.593
2024-02-12,100001,HDFC Large Cap Fund,113.242
2024-02-13,100001,HDFC Large Cap Fund,115.766
2024-02-14,100001,HDFC Large Cap Fund,116.453
2024-02-15,100001,HDFC Large Cap Fund,117.527
2024-02-16,100001,HDFC Large Cap Fund,116.476
2024-02-17,100001,HDFC Large Cap Fund,116.476
2024-02-18,100001,HDFC Large Cap Fund,116.476
2024-02-19,100001,HDFC Large Cap Fund,118.066
2024-02-20,100001,HDFC Large Cap Fund,119.102
2024-02-21,100001,HDFC Large Cap Fund,117.893
2024-02-22,100001,HDFC Large Cap Fund,114.791
2024-02-23,100001,HDFC Large Cap Fund,112.747
2024-02-24,100001,HDFC Large Cap Fund,112.747
2024-02-25,100001,HDFC Large Cap Fund,112.747
2024-02-26,100001,HDFC Large Cap Fund,111.672
2024-02-27,100001,HDFC Large Cap Fund,113.674
2024-02-28,100001,HDFC Large Cap Fund,116.379
2024-02-29,100001,HDFC Large Cap Fund,115.67
2024-03-01,100001,HDFC Large Cap Fund,115.02
2024-03-02,100001,HDFC Large Cap Fund,115.02
2024-03-03,100001,HDFC Large Cap Fund,115.02
2024-03-04,100001,HDFC Large Cap Fund,115.529
2024-03-05,100001,HDFC Large Cap Fund,115.608
2024-03-06,100001,HDFC Large Cap Fund,117.28
2024-03-07,100001,HDFC Large Cap Fund,116.418
2024-03-08,100001,HDFC Large Cap Fund,118.134
2024-03-09,100001,HDFC Large Cap Fund,118.134
2024-03-10,100001,HDFC Large Cap Fund,118.134
2024-03-11,100001,HDFC Large Cap Fund,117.769
2024-03-12,100001,HDFC Large Cap Fund,119.336
2024-03-13,100001,HDFC Large Cap Fund,118.91
2024-03-14,100001,HDFC Large Cap Fund,117.876
2024-03-15,100001,HDFC Large Cap Fund,121.316
2024-03-16,100001,HDFC Large Cap Fund,121.316
2024-03-17,100001,HDFC Large Cap Fund,121.316
2024-03-18,100001,HDFC Large Cap Fund,123.315
2024-03-19,100001,HDFC Large Cap Fund,120.062
2024-03-20,100001,HDFC Large Cap Fund,119.317
2024-03-21,100001,HDFC Large Cap Fund,121.533
2024-03-22,100001,HDFC Large Cap Fund,119.412
2024-03-23,100001,HDFC Large Cap Fund,119.412
2024-03-24,100001,HDFC Large Cap Fund,119.412
2024-03-25,100001,HDFC Large Cap Fund,120.852
2024-03-26,100001,HDFC Large Cap Fund,122.122
2024-03-27,100001,HDFC Large Cap Fund,120.902
2024-03-28,100001,HDFC Large Cap Fund,120.946
2024-03-29,100001,HDFC Large Cap Fund,117.215
2024-03-30,100001,HDFC Large Cap Fund,117.215
2024-03-31,100001,HDFC Large Cap Fund,117.215
2024-04-01,100001,HDFC Large Cap Fund,120.386
2024-04-02,100001,HDFC Large Cap Fund,119.888
2024-04-03,100001,HDFC Large Cap Fund,121.393
2024-04-04,100001,HDFC Large Cap Fund,122.571
2024-04-05,100001,HDFC Large Cap Fund,125.129
2024-04-06,100001,HDFC Large Cap Fund,125.129
2024-04-07,100001,HDFC Large Cap Fund,125.129
2024-04-08,100001,HDFC Large Cap Fund,124.378
2024-04-09,100001,HDFC Large Cap Fund,124.82
2024-04-10,100001,HDFC Large Cap Fund,125.929
2024-04-11,100001,HDFC Large Cap Fund,127.64
2024-04-12,100001,HDFC Large Cap Fund,129.914
2024-04-13,100001,HDFC Large Cap Fund,129.914
2024-04-14,100001,HDFC Large Cap Fund,129.914
2024-04-15,100001,HDFC Large Cap Fund,129.049
2024-04-16,100001,HDFC Large Cap Fund,127.828
2024-04-17,100001,HDFC Large Cap Fund,130.5
2024-04-18,100001,HDFC Large Cap Fund,126.578
2024-04-19,100001,HDFC Large Cap Fund,129.622
2024-04-20,100001,HDFC Large Cap Fund,129.622
2024-04-21,100001,HDFC Large Cap Fund,129.622
2024-04-22,100001,HDFC Large Cap Fund,129.099
2024-04-23,100001,HDFC Large Cap Fund,129.155
2024-04-24,100001,HDFC Large Cap Fund,127.898
2024-04-25,100001,HDFC Large Cap Fund,127.869
2024-04-26,100001,HDFC Large Cap Fund,130.371
2024-04-27,100001,HDFC Large Cap Fund,130.371
2024-04-28,100001,HDFC Large Cap Fund,130.371
2024-04-29,100001,HDFC Large Cap Fund,131.944
2024-04-30,100001,HDFC Large Cap Fund,132.985
2024-05-01,100001,HDFC Large Cap Fund,133.229
2024-05-02,100001,HDFC Large Cap Fund,130.407
2024-05-03,100001,HDFC Large Cap Fund,128.821
2024-05-04,100001,HDFC Large Cap Fund,128.821
2024-05-05,100001,HDFC Large Cap Fund,128.821
2024-05-06,100001,HDFC Large Cap Fund,128.222
2024-05-07,100001,HDFC Large Cap Fund,129.166
2024-05-08,100001,HDFC Large Cap Fund,129.366
2024-05-09,100001,HDFC Large Cap Fund,131.339
2024-05-10,100001,HDFC Large Cap Fund,132.338
2024-05-11,100001,HDFC Large Cap Fund,132.338
2024-05-12,100001,HDFC Large Cap Fund,132.338
2024-05-13,100001,HDFC Large Cap Fund,132.512
2024-05-14,100001,HDFC Large Cap Fund,137.102
2024-05-15,100001,HDFC Large Cap Fund,138.006
2024-05-16,100001,HDFC Large Cap Fund,137.181
2024-05-17,100001,HDFC Large Cap Fund,141.077
2024-05-18,100001,HDFC Large Cap Fund,141.077
2024-05-19,100001,HDFC Large Cap Fund,141.077
2024-05-20,100001,HDFC Large Cap Fund,143.688
2024-05-21,100001,HDFC Large Cap Fund,147.674
2024-05-22,100001,HDFC Large Cap Fund,147.502
2024-05-23,100001,HDFC Large Cap Fund,149.736
2024-05-24,100001,HDFC Large Cap Fund,146.548
2024-05-25,100001,HDFC Large Cap Fund,146.548
2024-05-26,100001,HDFC Large Cap Fund,146.548
2024-05-27,100001,HDFC Large Cap Fund,148.345
2024-05-28,100001,HDFC Large Cap Fund,148.068
2024-05-29,100001,HDFC Large Cap Fund,145.132
2024-05-30,100001,HDFC Large Cap Fund,147.453
2024-05-31,100001,HDFC Large Cap Fund,143.523
2024-06-01,100001,HDFC Large Cap Fund,143.523
