transaction_key,fund_key,date_key,transaction_type,amount,kyc_status,state,city
107,1,20230123,Lumpsum,50000.0,Not Verified,Karnataka,Delhi
108,2,20230124,Sip,10000.0,Pending,Maharashtra,Kolkata
109,4,20230124,Sip,5000.0,Verified,Karnataka,Chennai
110,4,20230124,Sip,5000.0,Not Verified,Gujarat,Ahmedabad
111,2,20230124,Lumpsum,50000.0,Verified,Tamil Nadu,Delhi
112,2,20230125,Redemption,5000.0,Not Verified,Delhi,Delhi
113,4,20230125,Redemption,1000.0,Pending,Tamil Nadu,Kolkata
114,4,20230126,Lumpsum,25000.0,Pending,Tamil Nadu,Delhi
115,3,20230126,Sip,1000.0,Verified,West Bengal,Ahmedabad
116,5,20230126,Redemption,10000.0,Pending,Gujarat,Mumbai
117,3,20230126,Sip,2000.0,Verified,Gujarat,Delhi
118,3,20230126,Sip,1000.0,Verified,Gujarat,Delhi
119,2,20230127,Lumpsum,100000.0,Not Verified,Gujarat,Delhi
120,4,20230127,Redemption,5000.0,Pending,Gujarat,Delhi
121,3,20230127,Sip,1000.0,Pending,Delhi,Ahmedabad
122,1,20230127,Sip,2000.0,Verified,Maharashtra,Mumbai
123,5,20230127,Sip,10000.0,Not Verified,West Bengal,Chennai
124,4,20230127,Lumpsum,10000.0,Not Verified,Tamil Nadu,Delhi
125,3,20230128,Redemption,5000.0,Pending,West Bengal,Ahmedabad
126,2,20230128,Lumpsum,25000.0,Verified,West Bengal,Chennai
127,4,20230128,Lumpsum,100000.0,Pending,Karnataka,Ahmedabad
128,5,20230128,Lumpsum,25000.0,Verified,Maharashtra,Mumbai
129,2,20230128,Sip,2000.0,Pending,Delhi,Bangalore
130,1,20230128,Sip,2000.0,Pending,Gujarat,Ahmedabad
131,2,20230129,Sip,5000.0,Verified,Gujarat,Ahmedabad
132,1,20230129,Sip,1000.0,Not Verified,West Bengal,Delhi
133,2,20230129,Sip,500.0,Verified,Maharashtra,Delhi
134,5,20230129,Lumpsum,25000.0,Pending,Delhi,Ahmedabad
135,4,20230129,Redemption,25000.0,Verified,Maharashtra,Delhi
136,5,20230130,Sip,10000.0,Not Verified,Gujarat,Mumbai
137,2,20230130,Sip,1000.0,Not Verified,Maharashtra,Ahmedabad
138,3,20230130,Sip,1000.0,Pending,Maharashtra,Kolkata
139,1,20230130,Redemption,25000.0,Pending,Gujarat,Delhi
140,2,20230130,Sip,10000.0,Verified,Maharashtra,Mumbai
141,5,20230130,Sip,10000.0,Not Verified,Gujarat,Bangalore
142,5,20230131,Sip,10000.0,Not Verified,Delhi,Bangalore
143,4,20230131,Sip,1000.0,Pending,Delhi,Chennai
144,3,20230131,Redemption,5000.0,Not Verified,Tamil Nadu,Bangalore
145,2,20230131,Sip,500.0,Not Verified,West Bengal,Delhi
146,5,20230131,Sip,10000.0,Pending,West Bengal,Chennai
147,2,20230131,Sip,2000.0,Not Verified,Delhi,Kolkata
148,3,20230131,Sip,5000.0,Not Verified,Maharashtra,Delhi
149,3,20230201,Lumpsum,100000.0,Not Verified,Gujarat,Delhi
150,3,20230202,Sip,5000.0,Not Verified,West Bengal,Chennai
151,5,20230202,Sip,5000.0,Not Verified,Tamil Nadu,Delhi
152,4,20230202,Sip,1000.0,Verified,Maharashtra,Mumbai
153,5,20230202,Sip,10000.0,Not Verified,Delhi,Chennai
154,4,20230202,Sip,2000.0,Verified,Delhi,Bangalore
155,4,20230202,Sip,2000.0,Verified,Delhi,Chennai
156,5,20230202,Sip,500.0,Pending,Gujarat,Kolkata
157,3,20230202,Sip,500.0,Verified,Delhi,Delhi
158,4,20230203,Sip,5000.0,Verified,West Bengal,Kolkata
159,1,20230203,Sip,10000.0,Pending,Gujarat,Delhi
160,4,20230204,Redemption,10000.0,Verified,Tamil Nadu,Delhi
161,3,20230205,Sip,5000.0,Verified,Maharashtra,Bangalore
162,2,20230205,Lumpsum,10000.0,Pending,West Bengal,Delhi
163,1,20230205,Lumpsum,10000.0,Pending,Tamil Nadu,Delhi
164,3,20230205,Lumpsum,50000.0,Not Verified,Gujarat,Chennai
165,2,20230205,Lumpsum,25000.0,Not Verified,Delhi,Ahmedabad
166,2,20230205,Sip,1000.0,Not Verified,Maharashtra,Mumbai
167,3,20230206,Lumpsum,10000.0,Pending,Karnataka,Ahmedabad
168,2,20230206,Lumpsum,10000.0,Pending,Tamil Nadu,Ahmedabad
169,2,20230206,Sip,5000.0,Verified,West Bengal,Mumbai
170,5,20230206,Lumpsum,100000.0,Pending,Karnataka,Ahmedabad
171,5,20230207,Sip,10000.0,Not Verified,Maharashtra,Chennai
172,3,20230207,Sip,10000.0,Not Verified,Maharashtra,Kolkata
173,4,20230208,Sip,10000.0,Verified,Gujarat,Bangalore
174,5,20230208,Sip,10000.0,Pending,Tamil Nadu,Bangalore
175,3,20230208,Sip,2000.0,Pending,West Bengal,Delhi
176,1,20230208,Sip,1000.0,Not Verified,Maharashtra,Mumbai
177,3,20230208,Redemption,1000.0,Verified,Tamil Nadu,Chennai
178,3,20230209,Sip,10000.0,Not Verified,Karnataka,Chennai
179,2,20230209,Redemption,5000.0,Verified,Delhi,Mumbai
180,1,20230209,Redemption,1000.0,Not Verified,Delhi,Ahmedabad
181,1,20230210,Sip,500.0,Verified,Karnataka,Kolkata
182,1,20230211,Sip,2000.0,Pending,West Bengal,Chennai
183,4,20230211,Sip,5000.0,Not Verified,Gujarat,Chennai
184,3,20230212,Sip,10000.0,Verified,Gujarat,Ahmedabad
185,2,20230212,Sip,1000.0,Verified,Maharashtra,Kolkata
186,2,20230212,Sip,1000.0,Pending,Delhi,Kolkata
187,5,20230212,Sip,5000.0,Pending,Maharashtra,Mumbai
188,3,20230213,Sip,5000.0,Not Verified,Maharashtra,Ahmedabad
189,1,20230213,Lumpsum,10000.0,Verified,Delhi,Delhi
190,1,20230213,Sip,10000.0,Verified,Delhi,Ahmedabad
191,5,20230213,Sip,500.0,Verified,Maharashtra,Delhi
192,2,20230213,Redemption,1000.0,Verified,Karnataka,Delhi
193,3,20230213,Sip,1000.0,Verified,Tamil Nadu,Kolkata
194,3,20230213,Sip,10000.0,Pending,Tamil Nadu,Chennai
195,3,20230213,Sip,500.0,Not Verified,Tamil Nadu,Bangalore
196,3,20230215,Sip,1000.0,Pending,Gujarat,Mumbai
197,4,20230215,Lumpsum,25000.0,Pending,West Bengal,Chennai
198,2,20230215,Lumpsum,100000.0,Not Verified,West Bengal,Chennai
199,2,20230216,Sip,5000.0,Pending,Gujarat,Kolkata
200,2,20230216,Sip,5000.0,Verified,Maharashtra,Delhi
201,4,20230216,Lumpsum,50000.0,Verified,Karnataka,Ahmedabad
202,2,20230216,Lumpsum,100000.0,Pending,Tamil Nadu,Kolkata
203,4,20230216,Sip,2000.0,Not Verified,Maharashtra,Bangalore
204,1,20230216,Sip,2000.0,Verified,West Bengal,Bangalore
205,1,20230217,Lumpsum,10000.0,Verified,Karnataka,Mumbai
206,3,20230217,Lumpsum,100000.0,Verified,West Bengal,Mumbai
207,2,20230217,Redemption,5000.0,Verified,Tamil Nadu,Bangalore
208,2,20230217,Sip,1000.0,Not Verified,Karnataka,Delhi
209,4,20230217,Sip,500.0,Verified,Tamil Nadu,Delhi
210,3,20230217,Redemption,5000.0,Pending,Gujarat,Bangalore
211,4,20230218,Sip,500.0,Verified,West Bengal,Delhi
212,5,20230218,Lumpsum,50000.0,Not Verified,West Bengal,Delhi
213,3,20230218,Sip,5000.0,Pending,West Bengal,Mumbai
214,4,20230218,Sip,2000.0,Verified,Karnataka,Ahmedabad
215,3,20230219,Lumpsum,25000.0,Not Verified,Karnataka,Chennai
216,3,20230220,Lumpsum,25000.0,Verified,West Bengal,Ahmedabad
217,5,20230220,Sip,500.0,Not Verified,Tamil Nadu,Kolkata
218,5,20230220,Sip,500.0,Pending,Tamil Nadu,Ahmedabad
219,1,20230220,Lumpsum,5000.0,Pending,West Bengal,Bangalore
220,3,20230220,Sip,2000.0,Not Verified,Maharashtra,Bangalore
221,4,20230221,Sip,10000.0,Not Verified,West Bengal,Bangalore
222,3,20230221,Lumpsum,100000.0,Pending,Karnataka,Mumbai
223,2,20230221,Sip,2000.0,Not Verified,Tamil Nadu,Bangalore
224,1,20230221,Sip,2000.0,Not Verified,Karnataka,Ahmedabad
225,2,20230222,Sip,2000.0,Verified,Maharashtra,Mumbai
226,5,20230222,Sip,5000.0,Verified,Karnataka,Ahmedabad
227,5,20230222,Sip,10000.0,Not Verified,Delhi,Kolkata
228,2,20230223,Lumpsum,50000.0,Verified,West Bengal,Kolkata
229,3,20230223,Sip,2000.0,Pending,Gujarat,Ahmedabad
230,5,20230223,Sip,1000.0,Pending,Karnataka,Ahmedabad
231,1,20230224,Sip,500.0,Pending,Maharashtra,Chennai
232,3,20230224,Lumpsum,100000.0,Not Verified,Gujarat,Delhi
233,3,20230224,Sip,2000.0,Pending,Karnataka,Mumbai
234,1,20230225,Sip,2000.0,Not Verified,Maharashtra,Mumbai
235,1,20230225,Lumpsum,5000.0,Verified,West Bengal,Mumbai
236,4,20230225,Sip,500.0,Verified,West Bengal,Chennai
237,2,20230225,Sip,1000.0,Not Verified,Karnataka,Chennai
238,4,20230226,Sip,5000.0,Not Verified,Gujarat,Chennai
239,4,20230226,Redemption,25000.0,Pending,West Bengal,Kolkata
240,4,20230226,Sip,1000.0,Pending,Gujarat,Mumbai
241,2,20230226,Sip,5000.0,Verified,Maharashtra,Bangalore
242,2,20230226,Sip,10000.0,Not Verified,Tamil Nadu,Ahmedabad
243,2,20230227,Lumpsum,10000.0,Not Verified,Maharashtra,Chennai
244,5,20230227,Sip,5000.0,Not Verified,Gujarat,Kolkata
245,1,20230227,Sip,2000.0,Not Verified,Delhi,Mumbai
246,3,20230228,Sip,1000.0,Not Verified,West Bengal,Bangalore
247,3,20230228,Lumpsum,100000.0,Not Verified,Gujarat,Kolkata
248,3,20230228,Sip,500.0,Not Verified,Tamil Nadu,Delhi
249,2,20230228,Lumpsum,5000.0,Pending,Gujarat,Mumbai
250,2,20230228,Sip,10000.0,Not Verified,Gujarat,Delhi
251,5,20230228,Sip,10000.0,Pending,Tamil Nadu,Kolkata
252,2,20230301,Sip,500.0,Not Verified,Tamil Nadu,Mumbai
253,1,20230301,Sip,500.0,Verified,Tamil Nadu,Chennai
254,1,20230301,Sip,10000.0,Not Verified,Delhi,Kolkata
255,2,20230301,Sip,10000.0,Not Verified,West Bengal,Bangalore
256,1,20230302,Sip,2000.0,Pending,Tamil Nadu,Ahmedabad
257,4,20230303,Sip,500.0,Verified,Maharashtra,Bangalore
258,4,20230303,Sip,2000.0,Verified,Tamil Nadu,Bangalore
259,5,20230304,Sip,1000.0,Verified,Maharashtra,Kolkata
260,4,20230305,Lumpsum,100000.0,Verified,Gujarat,Kolkata
261,2,20230305,Sip,500.0,Pending,Delhi,Ahmedabad
262,2,20230305,Sip,10000.0,Pending,Delhi,Delhi
263,4,20230305,Lumpsum,5000.0,Not Verified,Delhi,Mumbai
264,5,20230305,Sip,1000.0,Not Verified,Maharashtra,Bangalore
265,1,20230306,Redemption,10000.0,Not Verified,Tamil Nadu,Delhi
266,3,20230306,Lumpsum,25000.0,Pending,Maharashtra,Ahmedabad
267,3,20230306,Sip,5000.0,Verified,Gujarat,Ahmedabad
268,5,20230306,Lumpsum,25000.0,Verified,Tamil Nadu,Kolkata
269,4,20230306,Lumpsum,25000.0,Verified,West Bengal,Delhi
270,2,20230306,Lumpsum,5000.0,Verified,Karnataka,Kolkata
271,2,20230306,Redemption,10000.0,Pending,Gujarat,Delhi
272,4,20230307,Sip,10000.0,Pending,Tamil Nadu,Ahmedabad
273,2,20230307,Lumpsum,50000.0,Verified,West Bengal,Ahmedabad
274,2,20230307,Sip,1000.0,Not Verified,West Bengal,Ahmedabad
275,5,20230307,Sip,1000.0,Not Verified,Gujarat,Kolkata
276,1,20230308,Sip,500.0,Not Verified,Tamil Nadu,Mumbai
277,5,20230308,Sip,10000.0,Not Verified,West Bengal,Ahmedabad
278,3,20230308,Lumpsum,50000.0,Pending,Karnataka,Bangalore
279,3,20230309,Lumpsum,10000.0,Not Verified,Delhi,Mumbai
280,3,20230309,Sip,500.0,Verified,Tamil Nadu,Chennai
281,4,20230310,Sip,500.0,Verified,Maharashtra,Bangalore
282,5,20230310,Sip,1000.0,Verified,Tamil Nadu,Chennai
283,1,20230310,Lumpsum,100000.0,Pending,Maharashtra,Kolkata
284,2,20230310,Lumpsum,10000.0,Verified,Maharashtra,Bangalore
285,1,20230310,Sip,10000.0,Verified,Gujarat,Mumbai
286,1,20230310,Sip,2000.0,Not Verified,Delhi,Delhi
287,2,20230310,Lumpsum,5000.0,Verified,West Bengal,Chennai
288,2,20230311,Sip,5000.0,Pending,Delhi,Chennai
289,2,20230311,Sip,5000.0,Verified,West Bengal,Bangalore
290,3,20230311,Sip,2000.0,Pending,Delhi,Kolkata
291,2,20230311,Sip,10000.0,Not Verified,Tamil Nadu,Bangalore
292,1,20230311,Lumpsum,100000.0,Not Verified,Gujarat,Chennai
293,5,20230311,Lumpsum,25000.0,Pending,Karnataka,Chennai
294,3,20230312,Redemption,25000.0,Verified,Tamil Nadu,Ahmedabad
295,1,20230312,Lumpsum,5000.0,Pending,Maharashtra,Chennai
296,4,20230312,Sip,5000.0,Not Verified,Gujarat,Kolkata
297,4,20230312,Redemption,1000.0,Verified,Karnataka,Kolkata
298,3,20230312,Sip,2000.0,Not Verified,Maharashtra,Chennai
299,1,20230312,Sip,500.0,Not Verified,Gujarat,Kolkata
300,1,20230312,Sip,500.0,Not Verified,Karnataka,Delhi
301,5,20230313,Lumpsum,100000.0,Not Verified,Delhi,Chennai
302,3,20230313,Lumpsum,100000.0,Verified,Karnataka,Delhi
303,2,20230313,Lumpsum,10000.0,Pending,Karnataka,Delhi
304,2,20230313,Lumpsum,5000.0,Pending,Gujarat,Kolkata
305,4,20230314,Sip,2000.0,Not Verified,Gujarat,Chennai
306,2,20230314,Redemption,10000.0,Verified,West Bengal,Delhi
307,3,20230314,Sip,2000.0,Not Verified,Tamil Nadu,Ahmedabad
308,5,20230314,Lumpsum,10000.0,Not Verified,Karnataka,Chennai
309,2,20230314,Sip,10000.0,Verified,West Bengal,Delhi
310,2,20230315,Lumpsum,25000.0,Pending,Maharashtra,Bangalore
311,1,20230315,Sip,2000.0,Pending,West Bengal,Kolkata
312,1,20230315,Lumpsum,10000.0,Not Verified,West Bengal,Chennai
313,3,20230315,Sip,1000.0,Not Verified,Maharashtra,Chennai
314,3,20230315,Redemption,5000.0,Not Verified,Gujarat,Chennai
315,4,20230316,Lumpsum,25000.0,Not Verified,Maharashtra,Ahmedabad
316,1,20230316,Redemption,1000.0,Verified,Gujarat,Ahmedabad
317,2,20230317,Sip,500.0,Not Verified,Gujarat,Delhi
318,2,20230317,Lumpsum,100000.0,Pending,Karnataka,Chennai
319,1,20230317,Redemption,5000.0,Verified,West Bengal,Kolkata
320,4,20230317,Sip,1000.0,Verified,West Bengal,Bangalore
321,4,20230318,Sip,5000.0,Verified,Karnataka,Delhi
322,5,20230318,Lumpsum,10000.0,Pending,Maharashtra,Delhi
323,1,20230318,Sip,10000.0,Not Verified,Gujarat,Bangalore
324,5,20230318,Lumpsum,5000.0,Verified,West Bengal,Bangalore
325,2,20230319,Sip,2000.0,Pending,Delhi,Mumbai
326,5,20230319,Sip,2000.0,Pending,Gujarat,Chennai
327,4,20230319,Sip,1000.0,Verified,Tamil Nadu,Bangalore
328,4,20230319,Sip,10000.0,Pending,West Bengal,Ahmedabad
329,5,20230319,Sip,1000.0,Not Verified,West Bengal,Mumbai
330,1,20230320,Lumpsum,5000.0,Not Verified,Delhi,Chennai
331,3,20230320,Sip,5000.0,Pending,Delhi,Mumbai
332,5,20230320,Sip,10000.0,Verified,Maharashtra,Mumbai
333,1,20230320,Sip,500.0,Pending,Tamil Nadu,Chennai
334,1,20230320,Sip,5000.0,Pending,Karnataka,Ahmedabad
335,5,20230321,Sip,10000.0,Pending,Maharashtra,Chennai
336,5,20230322,Redemption,10000.0,Pending,West Bengal,Kolkata
337,3,20230323,Redemption,5000.0,Verified,Gujarat,Mumbai
338,1,20230323,Sip,500.0,Verified,Tamil Nadu,Kolkata
339,4,20230323,Lumpsum,50000.0,Pending,Delhi,Bangalore
340,5,20230324,Sip,5000.0,Verified,Maharashtra,Delhi
341,5,20230325,Redemption,5000.0,Pending,Karnataka,Delhi
342,2,20230325,Sip,10000.0,Not Verified,Tamil Nadu,Chennai
343,1,20230325,Sip,10000.0,Not Verified,Delhi,Delhi
344,5,20230325,Redemption,1000.0,Verified,Maharashtra,Ahmedabad
345,5,20230325,Lumpsum,5000.0,Verified,Delhi,Bangalore
346,4,20230325,Sip,2000.0,Not Verified,Tamil Nadu,Ahmedabad
347,1,20230326,Sip,1000.0,Verified,Gujarat,Mumbai
348,1,20230326,Sip,500.0,Not Verified,Delhi,Bangalore
349,5,20230326,Sip,10000.0,Verified,Gujarat,Chennai
350,4,20230326,Sip,500.0,Pending,Delhi,Chennai
351,5,20230326,Sip,5000.0,Not Verified,Karnataka,Chennai
352,4,20230327,Sip,10000.0,Pending,West Bengal,Delhi
353,3,20230327,Sip,10000.0,Pending,Karnataka,Ahmedabad
354,2,20230327,Redemption,5000.0,Pending,Tamil Nadu,Ahmedabad
355,2,20230327,Redemption,10000.0,Not Verified,Maharashtra,Mumbai
356,4,20230327,Sip,10000.0,Pending,West Bengal,Bangalore
357,3,20230327,Lumpsum,50000.0,Pending,Gujarat,Chennai
358,4,20230328,Redemption,25000.0,Not Verified,Karnataka,Bangalore
359,1,20230328,Lumpsum,5000.0,Pending,Delhi,Kolkata
360,2,20230328,Lumpsum,25000.0,Verified,Tamil Nadu,Chennai
361,1,20230328,Sip,2000.0,Pending,Karnataka,Ahmedabad
362,5,20230328,Sip,2000.0,Verified,Delhi,Mumbai
363,3,20230328,Sip,5000.0,Verified,Gujarat,Mumbai
364,3,20230329,Sip,1000.0,Verified,Gujarat,Ahmedabad
365,4,20230329,Sip,2000.0,Verified,Karnataka,Chennai
366,4,20230329,Sip,10000.0,Pending,West Bengal,Ahmedabad
367,2,20230329,Sip,10000.0,Not Verified,West Bengal,Ahmedabad
368,2,20230329,Sip,5000.0,Not Verified,Gujarat,Bangalore
369,2,20230329,Sip,500.0,Pending,Gujarat,Kolkata
370,3,20230330,Sip,10000.0,Verified,Delhi,Kolkata
371,5,20230330,Redemption,10000.0,Pending,Karnataka,Chennai
372,3,20230331,Sip,10000.0,Not Verified,Maharashtra,Chennai
373,4,20230331,Sip,500.0,Verified,Maharashtra,Chennai
374,2,20230331,Sip,500.0,Not Verified,Delhi,Bangalore
375,2,20230331,Lumpsum,25000.0,Not Verified,West Bengal,Bangalore
376,2,20230331,Sip,1000.0,Not Verified,Maharashtra,Delhi
377,1,20230331,Sip,5000.0,Not Verified,West Bengal,Kolkata
378,3,20230331,Lumpsum,25000.0,Not Verified,Delhi,Ahmedabad
379,4,20230401,Sip,10000.0,Verified,West Bengal,Chennai
380,4,20230401,Sip,2000.0,Not Verified,Karnataka,Kolkata
381,2,20230401,Sip,5000.0,Verified,Delhi,Mumbai
382,2,20230401,Sip,10000.0,Pending,West Bengal,Kolkata
383,3,20230401,Sip,5000.0,Not Verified,West Bengal,Bangalore
384,1,20230402,Lumpsum,100000.0,Verified,Karnataka,Ahmedabad
385,4,20230402,Sip,10000.0,Pending,Gujarat,Mumbai
386,2,20230403,Sip,2000.0,Pending,Gujarat,Kolkata
387,4,20230403,Lumpsum,100000.0,Pending,Gujarat,Bangalore
388,3,20230403,Sip,500.0,Pending,Delhi,Ahmedabad
389,5,20230404,Lumpsum,50000.0,Pending,Tamil Nadu,Mumbai
390,5,20230404,Sip,2000.0,Not Verified,Gujarat,Chennai
391,2,20230405,Lumpsum,5000.0,Not Verified,Gujarat,Kolkata
392,5,20230405,Sip,10000.0,Verified,West Bengal,Chennai
393,1,20230405,Lumpsum,25000.0,Verified,Gujarat,Mumbai
394,1,20230405,Sip,1000.0,Verified,Delhi,Bangalore
395,5,20230405,Sip,10000.0,Verified,Delhi,Ahmedabad
396,3,20230405,Sip,500.0,Verified,Maharashtra,Mumbai
397,4,20230405,Sip,1000.0,Verified,West Bengal,Chennai
398,5,20230405,Sip,1000.0,Not Verified,Gujarat,Chennai
399,1,20230405,Sip,10000.0,Not Verified,Gujarat,Mumbai
